"","Player_name","Player_position","Player_age","Transfer_season","Transfer_from_division","Transfer_from_team","Transfer_to_division","Transfer_to_team","Transfer_fee","MV_transfer","First_time_EU","Loan_Transfer","MV_4y_high","Transfer_4y","Transfer_after"
"87","Ignacio Fideleff","Centre-Back",22,"11/12","Torneo Final","Newell's","Serie A","SSC Napoli","2,20 Mill. €",7e+05,"Yes","No",2200000,"No",NA
"88","Ignacio Lores","Right Winger",20,"11/12","Primera División","Defensor","Serie A","Palermo","2,80 Mill. €",4e+05,"Yes","No",2500000,"Yes",0
"89","Ignacio Piatti","Left Winger",25,"10/11","Primera División","San Felipe","Serie A","Lecce","2,50 Mill. €",2e+06,"No","Yes",NA,"Yes",0
"90","Ignacio Scocco","Centre-Forward",28,"13/14","Série A","Internacional","Premier League","Sunderland","3,65 Mill. €",6e+06,"No","No",NA,"Yes",3250000
"91","Jádson","Central Midfield",19,"13/14","Série A","Botafogo","Serie A","Udinese Calcio","2,50 Mill. €",1500000,"Yes","No",NA,"Yes",NA
"92","Javier Pastore","Attacking Midfield",20,"09/10","Torneo Final","Huracán","Serie A","Palermo","7,00 Mill. €",3e+06,"Yes","No",3e+07,"Yes",4.2e+07
"93","Jherson Vergara","Centre-Back",19,"13/14","Liga Águila II","Quindío","Serie A","AC Milan","2,00 Mill. €",2e+06,"Yes","Yes",NA,"No",NA
"94","João Pedro","Attacking Midfield",18,"10/11","Série A","Atlético-MG","Serie A","Palermo","2,50 Mill. €",4e+05,"Yes","No",2e+06,"Yes",0
"95","Jonas","Second Striker",26,"10/11","Série A","Grêmio","LaLiga","Valencia","1,25 Mill. €",6e+06,"Yes","No",1.2e+07,"No",NA
"96","Jonatan Lucca","Central Midfield",18,"12/13","Brazil","Inter U20","Serie A","AS Roma","700 Th. €",NA,"Yes","No",7e+05,"Yes",NA
"97","Jonathan","Right-Back",25,"11/12","Série A","Santos FC","Serie A","Inter","5,00 Mill. €",4500000,"Yes","No",7500000,"Yes",0
"98","Jonny Mosquera","Defensive Midfield",22,"13/14","Liga Águila II","Envigado","Serie A","AS Livorno","Loan fee:250 Th. €",NA,NA,NA,NA,NA,NA
"99","José María Giménez","Centre-Back",18,"13/14","Primera División","Danubio FC","LaLiga","Atlético Madrid","900 Th. €",1e+05,"Yes","No",2.8e+07,"No",NA
"100","Juan Forlín","Centre-Back",21,"09/10","Torneo Final","Boca Juniors","LaLiga","Espanyol","4,00 Mill. €",2e+06,"No","No",4e+06,"Yes",3500000
"101","Juan Gonzalo Lorca","Centre-Forward",24,"09/10","Primera División","Colo Colo","Ligue 1","US Boulogne","385 Th. €",6e+05,"No","Yes",NA,"Yes",0
"102","Juan Jesus","Centre-Back",20,"11/12","Série A","Internacional","Serie A","Inter","3,80 Mill. €",3e+06,"Yes","No",1.4e+07,"Yes",8e+06
"103","Junior Fernandes","Left Winger",24,"12/13","Primera División","U. de Chile","Bundesliga","Bay. Leverkusen","4,70 Mill. €",8e+05,"Yes","No",4500000,"Yes",2500000
"104","Keirrison","Centre-Forward",20,"09/10","Brazil","Desp. Brasil","LaLiga","FC Barcelona","14,00 Mill. €",1.4e+07,"Yes","No",NA,"No",NA
"105","Leandro Cabrera","Centre-Back",18,"09/10","Primera División","Defensor","LaLiga","Atlético Madrid","1,50 Mill. €",NA,"Yes"," No ",1500000,"Yes",0
"106","Leandro Caruso","Centre-Forward",27,"09/10","Torneo Final","Godoy Cruz","Serie A","Udinese Calcio","4,00 Mill. €",1e+06,"Yes","No",2500000,"Yes",NA
"107","Leandro Castán","Centre-Back",25,"12/13","Série A","Corinthians","Serie A","AS Roma","5,00 Mill. €",2500000,"No","No",1.4e+07,"No",NA
"108","Leonardo Melazzi","Right Winger",21,"12/13","Primera División","Danubio FC","Serie A","Genoa","Loan fee:380 Th. €",NA,NA,NA,NA,NA,NA
"109","Lorenzo Reyes","Defensive Midfield",22,"13/14","Primera División","Huachipato FC","LaLiga","Real Betis","900 Th. €",4e+05,"Yes","No",1800000,"Yes",0
"110","Luan","Left Winger",20,"09/10","Série B","São Caetano","Ligue 1","Toulouse","2,50 Mill. €",2e+06,"Yes","No",NA," Yes ",3150000
"111","Lucas Castro","Central Midfield",23,"12/13","Torneo Final","Racing Club","Serie A","Catania","2,00 Mill. €",2e+06,"Yes","No",5e+06,"Yes",3500000
"112","Lucas Mendes","Centre-Back",22,"12/13","Série A","Coritiba FC","Ligue 1","Marseille","2,30 Mill. €",6e+05,"Yes","No",4e+06,"Yes",5e+06
"113","Lucas Moura","Right Winger",20,"12/13","Série A","São Paulo","Ligue 1","Paris SG","40,00 Mill. €",3.5e+07,"Yes","No",3.7e+07,"No",NA
"114","Lucas Orbán","Centre-Back",24,"13/14","Torneo Final","Tigre","Ligue 1","G. Bordeaux","3,50 Mill. €",1500000,"Yes","No",3500000,"Yes",3500000
"115","Lucas Piazón","Left Winger",18,"11/12","Brazil","FC São Paulo B","Premier League","Chelsea","7,50 Mill. €",7500000,"Yes","No",NA,"No",NA
"116","Luis Muriel","Centre-Forward",19,"10/11","Liga Águila II","Deportivo Cali","Serie A","Udinese Calcio","1,50 Mill. €",1500000,"Yes","No",1e+07,"Yes",1.2e+07
"117","Maicosuel","Left Winger",26,"12/13","Série A","Botafogo","Serie A","Udinese Calcio","5,30 Mill. €",2500000,"No","No",3e+06,"Yes",3e+06
"118","Maicosuel","Left Winger",26,"12/13","Série A","Botafogo","Serie A","Udinese Calcio","5,30 Mill. €",2e+06,"Yes","Yes",4500000,"Yes",4e+06
"119","Maicosuel","Left Winger",23,"09/10","Brazil","Desp. Brasil","Bundesliga","TSG Hoffenheim","4,50 Mill. €",2500000,"No","No",3e+06,"Yes",3e+06
"120","Maicosuel","Left Winger",23,"09/10","Brazil","Desp. Brasil","Bundesliga","TSG Hoffenheim","4,50 Mill. €",2e+06,"Yes","Yes",4500000,"Yes",4e+06
"121","Marcelo Silva","Centre-Back",21,"10/11","Primera División","Danubio FC","LaLiga","UD Almería","1,30 Mill. €",550000,"Yes","No",1e+06,"Yes",0
"122","Marco Estrada","Defensive Midfield",27,"10/11","Primera División","U. de Chile","Ligue 1","Montpellier","1,00 Mill. €",675000,"Yes","No",4e+06,"Yes",1500000
"123","Marcos Angeleri","Centre-Back",30,"13/14","Torneo Final","Estudiantes","LaLiga","Málaga CF","230 Th. €",5e+05,"No","No",1500000,"Yes",1e+05
"124","Marcos Angeleri","Centre-Back",30,"13/14","Torneo Final","Estudiantes","LaLiga","Málaga CF","230 Th. €",3500000,"Yes","No",NA,"Yes",0
"125","Marcos Angeleri","Centre-Back",27,"10/11","Torneo Final","Estudiantes","Premier League","Sunderland","1,80 Mill. €",5e+05,"No","No",1500000,"Yes",1e+05
"126","Marcos Angeleri","Centre-Back",27,"10/11","Torneo Final","Estudiantes","Premier League","Sunderland","1,80 Mill. €",3500000,"Yes","No",NA,"Yes",0
"127","Mariano","Right-Back",25,"11/12","Série A","Fluminense","Ligue 1","G. Bordeaux","3,00 Mill. €",3500000,"Yes","No",4500000,"Yes",3500000
"128","Mariano Andújar","Goalkeeper",25,"09/10","Torneo Final","Estudiantes","Serie A","Catania","2,20 Mill. €",3500000,"No","No",4500000,"Yes",2e+06
"129","Marquinho","Attacking Midfield",25,"11/12","Série A","Fluminense","Serie A","AS Roma","Loan fee:250 Th. €",4500000,"No","Yes",NA,"No",NA
"130","Marquinho","Attacking Midfield",26,"12/13","Série A","Fluminense","Serie A","AS Roma","3,50 Mill. €",4500000,"No","Yes",NA,"No",NA
"131","Marquinhos","Centre-Back",18,"12/13","Série A","Corinthians","Serie A","AS Roma","5,70 Mill. €",750000,"No","Yes",3.5e+07,"Yes",31400000
