"","Player_name","Player_position","Player_age","Transfer_season","Transfer_from_division","Transfer_from_team","Transfer_to_division","Transfer_to_team","Transfer_fee","MV_transfer","First_time_EU","Loan_Transfer","MV_4y_high","Transfer_4y","Transfer_after"
"169","Papu Gómez","Second Striker",22,"10/11","Torneo Final","San Lorenzo","Serie A","Catania","2,50 Mill. €",2500000,"Yes","No",1.1e+07,"Yes",7e+06
"170","Paulinho","Central Midfield",24,"13/14","Série A","Corinthians","Premier League","Spurs","19,73 Mill. €",1.2e+07,"No","No",1.5e+07,"Yes",1.4e+07
"171","Paulo Dybala","Second Striker",18,"12/13","Primera Nacional","Instituto AC","Serie A","Palermo","11,90 Mill. €",2e+06,"Yes","No",4.5e+07,"Yes",4e+07
"172","Rafael","Goalkeeper",23,"13/14","Série A","Santos FC","Serie A","SSC Napoli","5,00 Mill. €",4e+06,"Yes","No",NA,"Yes",0
"173","Rafael Santos","Centre-Back",24,"09/10","Série A","Athletico-PR","Serie A","Bologna","Loan fee:300 Th. €",NA,NA,NA,NA,NA,NA
"174","Raphael Martinho","Left Midfield",22,"10/11","Brazil","Monte Alegre Futebol Clube (SP)","Serie A","Catania","200 Th. €",NA,"Yes","Yes",2e+06,"Yes",9e+05
"175","Réver","Centre-Back",25,"09/10","Série A","Grêmio","Bundesliga","VfL Wolfsburg","5,00 Mill. €",5500000,"Yes","No",NA,"Yes",3e+06
"176","Ricardo Álvarez","Attacking Midfield",23,"11/12","Torneo Final","Vélez Sarsfield","Serie A","Inter","10,50 Mill. €",3500000,"Yes","No",16500000,"Yes",10500000
"177","Roberto Firmino","Centre-Forward",19,"10/11","Brazil","Tombense","Bundesliga","TSG Hoffenheim","4,00 Mill. €",NA,"Yes","Yes",2.5e+07,"No",NA
"178","Rodrigo Palacio","Centre-Forward",27,"09/10","Torneo Final","Boca Juniors","Serie A","Genoa","4,90 Mill. €",9500000,"Yes","No",12500000,"Yes",10500000
"179","Roger Carvalho","Centre-Back",25,"12/13","Brazil","Tombense","Serie A","Bologna","Loan fee:300 Th. €",NA,NA,NA,NA,NA,NA
"180","Sandro","Defensive Midfield",21,"10/11","Série A","Internacional","Premier League","Spurs","10,00 Mill. €",9e+06,"Yes","No",1.7e+07,"Yes",7500000
"181","Sandro Silva","Defensive Midfield",26,"10/11","Brazil","Desp. Brasil","LaLiga","Málaga CF","2,20 Mill. €",1e+06,"Yes","No",2e+06,"Yes",NA
"182","Santiago García","Left-Back",22,"10/11","Primera Nacional","CA Rosario","Serie A","Palermo","1,60 Mill. €",3e+05,"Yes","No",2e+06,"Yes",NA
"183","Santiago García","Left-Back",25,"13/14","Primera División","Rangers Talca","Bundesliga","Werder Bremen","Loan fee:500 Th. €",3e+05,"Yes","No",2e+06,"Yes",NA
"184","Santiago Silva","Centre-Forward",30,"11/12","Torneo Final","Vélez Sarsfield","Serie A","Fiorentina","1,70 Mill. €",2500000,"No","No",NA,"Yes",1400000
"185","Sebastián Coates","Centre-Back",20,"11/12","Primera División","Nacional","Premier League","Liverpool","8,00 Mill. €",2500000,"Yes","No",NA,"Yes",2800000
"186","Sebastián Cristóforo","Central Midfield",19,"13/14","Primera División","Peñarol","LaLiga","Sevilla FC","2,25 Mill. €",6e+05,"Yes","No",2700000,"Yes",2500000
"187","Sebastián Fernández","Second Striker",25,"10/11","Torneo Final","CA Banfield","LaLiga","Málaga CF","3,60 Mill. €",2500000,"Yes","No",3600000,"Yes",0
"188","Silvio Romero","Centre-Forward",25,"13/14","Torneo Final","Lanús","Ligue 1","Stade Rennais","Loan fee:500 Th. €",NA,NA,NA,NA,NA,NA
"189","Thiago Ribeiro","Left Winger",26,"12/13","Segunda División","Rentistas","Serie A","Cagliari Calcio","2,00 Mill. €",3e+06,"No","Yes",3500000,"Yes",3500000
