FID,COD_NOMBRE,COD_NOM_01,NOM_CALLE_,NOM_CAL_01,GID,COD_DEPTO,x,y
32952,5527,2548,PISCIS,ESCORPION,46406628,1,-56.0984966416079,-34.8216646831741
32953,4032,4803,LOZANO,LUCAS J OBES,46406629,1,-56.2088868528132,-34.8626940147131
32954,4929,4803,FELIX OLMEDO,LUCAS J OBES,46406630,1,-56.2102716825248,-34.8624780318665
32955,7599,3540,20 DE ENERO,ISABELA,46406631,1,-56.166521092537,-34.8633138163021
32956,3540,7599,ISABELA,20 DE ENERO,46406632,1,-56.166521092537,-34.8633138163021
32957,1959,7665,CHUY,REGIMIENTO 9,46406633,1,-56.1883822370719,-34.86258695142
32958,1959,1665,CHUY,CARMELO,46406634,1,-56.1892624559828,-34.8634588089337
32959,1665,1959,CARMELO,CHUY,46406635,1,-56.1892624559828,-34.8634588089337
32960,927,5898,VENANCIO BENAVIDEZ,REGIDORES,46406636,1,-56.1948119107276,-34.8634835165517
32961,927,4437,VENANCIO BENAVIDEZ,MICENAS,46406637,1,-56.1949377993228,-34.8625457078204
32962,4585,597,AV DR LUIS MORQUIO,BV GRAL ARTIGAS,46406638,1,-56.1646162445767,-34.8970538018193
32963,3680,918,CNO LA CABRA,AV JOSE BELLONI,46406639,1,-56.1341387271496,-34.7639273139554
32964,8025,6596,LA VIA,SBRE 2,46406640,1,-56.2699924615105,-34.8727140309441
32965,8025,2829,LA VIA,CNO SANFUENTES,46406641,1,-56.2699924615105,-34.8727140309441
32966,537,5883,ARGERICH,ALFEREZ REAL,46406642,1,-56.1293139361119,-34.8636950647075
32967,7149,507,CARLOS DE LA VEGA,CNO PASO DE LA ARENA,46406643,1,-56.2607671442755,-34.8357224935482
32968,1584,402,DR CAPDEHOURAT,GRAL TIMOTEO APARICIO,46406644,1,-56.1258976297,-34.863752591754
32969,457,6168,LIBER ARCE,DOLORES PEREIRA DE ROSELL,46406645,1,-56.1446889710871,-34.8990331379215
32970,7521,4716,PABLO ZUFRIATEGUI,AMADO NERVO,46406646,1,-56.2134792963839,-34.863545505193
32971,6192,126,HERMANOS RUIZ,AV AGRACIADA,46406647,1,-56.2063888167475,-34.867948100315
32972,6192,1602,HERMANOS RUIZ,CAPURRO,46406648,1,-56.2063888167475,-34.867948100315
32973,6192,4929,HERMANOS RUIZ,FELIX OLMEDO,46406649,1,-56.2063888167475,-34.867948100315
32974,6192,960,HERMANOS RUIZ,ADOLFO BERRO,46406650,1,-56.2054240918985,-34.8670355162154
32975,5790,3660,JUAN JOSE QUESADA,FRANCISCO LAVANDEIRA,46406651,1,-56.1713985081721,-34.8637334748872
32976,3063,7056,FRANCISCO GOMEZ,URUGUAYANA,46406652,1,-56.210962667319,-34.8680015854961
32977,3063,2406,FRANCISCO GOMEZ,DRAGONES,46406653,1,-56.2112696441702,-34.8681898361656
32978,1791,5527,CEFEO,PISCIS,46406654,1,-56.099532108857,-34.8225516090229
32979,1791,3247,CEFEO,CNO GUERRA,46406655,1,-56.0990402763571,-34.8231783689517
32980,1791,2548,CEFEO,ESCORPION,46406656,1,-56.0996139461224,-34.822386808455
32981,2508,3750,JOSE ELLAURI,ATANASIO LAPIDO,46406657,1,-56.1526902778339,-34.9111701241967
32982,6168,457,DOLORES PEREIRA DE ROSELL,LIBER ARCE,46406658,1,-56.1446889710871,-34.8990331379215
32983,2949,333,AV GRAL GARIBALDI,CARLOS ANAYA,46406659,1,-56.1626218663734,-34.8873359067824
32984,6051,645,AV GRAL RIVERA,ASTURIAS,46406660,1,-56.1191887694213,-34.8947070814201
32985,7188,930,VERA,FRAY BENTOS,46406661,1,-56.1361768134402,-34.8638320401292
32986,6201,3114,CERVANTES SAAVEDRA,DR JOSE IRURETA GOYENA,46406662,1,-56.1456473008054,-34.8635024906892
32987,6201,3780,CERVANTES SAAVEDRA,LARRAVIDE,46406663,1,-56.1468365994074,-34.8637834792851
32988,7665,2325,REGIMIENTO 9,DARWIN,46406664,1,-56.1838485300906,-34.8637309290321
32989,3348,6084,AV  DR. LUIS ALBERTO DE HERRERA,FRANCISCO RODRIGO,46406665,1,-56.1620603319048,-34.8723469269557
32990,3348,570,AV  DR. LUIS ALBERTO DE HERRERA,JUAN ARRIETA,46406666,1,-56.1612936645224,-34.8727646232797
32991,4360,1995,MENENDEZ Y PELAYO,TOMAS CLARAMUNT,46406667,1,-56.1410623219889,-34.8626348968021
32992,6572,3507,CAYETANO SILVA,AV DE LAS INSTRUCCIONES,46406668,1,-56.2003159129882,-34.8440560721556
32993,6572,3507,CAYETANO SILVA,AV DE LAS INSTRUCCIONES,46406669,1,-56.2002626865897,-34.8440950752326
32994,9430,9424,3RA PLA AL PASO HONDO,ORQUIDEAS,46406670,1,-56.0409847498447,-34.7792010963623
32995,4713,1665,NELSON,CARMELO,46406671,1,-56.1883778254397,-34.8638263761743
32996,6180,7188,JUAN JACOBO ROUSSEAU,VERA,46406672,1,-56.1351390355666,-34.8639652259117
32997,6180,7308,JUAN JACOBO ROUSSEAU,CAP VILLADEMOROS,46406673,1,-56.1350827205633,-34.8630143910605
32998,4536,705,MONTE CASEROS,AZAMBUYA,46406674,1,-56.1603863057679,-34.8831447963899
32999,1947,3540,JOAQUIN DE CHOPITEA,ISABELA,46406675,1,-56.1675725000771,-34.8629234300852
33000,6483,3711,SENAQUE,ANDRES LAMAS,46406676,1,-56.1759791455371,-34.8629143338065
33001,2118,7056,CONVENIO,URUGUAYANA,46406677,1,-56.2064570809787,-34.872388469619
33002,2118,7056,CONVENIO,URUGUAYANA,46406678,1,-56.2064093143792,-34.8723432591667
33003,1002,177,AV DR JUAN CARLOS BLANCO,AIGUA,46406679,1,-56.1968645819223,-34.8644226831583
33004,3957,918,CNO CARLOS LINNEO,AV JOSE BELLONI,46406680,1,-56.1357929418256,-34.7830014192957
33005,3957,3808,CNO CARLOS LINNEO,LAS HUERTAS,46406681,1,-56.1339537107232,-34.7826180466951
33006,3957,2665,CNO CARLOS LINNEO,FAROS,46406682,1,-56.1339537107232,-34.7826180466951
33007,960,2932,ADOLFO BERRO,FEDERICO GARCIA LORCA,46406683,1,-56.2075254891375,-34.8638969337342
33008,960,3093,ADOLFO BERRO,VALENTIN GOMEZ,46406684,1,-56.2082343058928,-34.863358489305
