Arbol,Cod_calle,Calle,Cod_Entre,Entre,Cod_Y,Y, Numero,Ajuste,Acera,Alineacion,Ordinal,Ancho Vereda,Distancia,CAP,Altura,Diametro Copa,EV,Int.Aerea,Int.Sub,Genero,Especie,Nombre científico
233247,7572,18 DE JULIO AVENIDA,2361,ACEVEDO DIAZ EDUARDO,7656,8 DE OCTUBRE AVENIDA,2261,,I,1,,,4,165,17,10,2,N,S,63,1,Platanus x acerifolia
233248,7572,18 DE JULIO AVENIDA,2361,ACEVEDO DIAZ EDUARDO,7656,8 DE OCTUBRE AVENIDA,2251,,I,1,,,4,159,17,11,2,N,S,63,1,Platanus x acerifolia
233426,7572,18 DE JULIO AVENIDA,4104,MAGALLANES,2853,GABOTO,1734,,P,1,,,4,52,5,6,2,S,N,39,1,Jacaranda ovalifolia
233427,7572,18 DE JULIO AVENIDA,4104,MAGALLANES,2853,GABOTO,1720,,P,1,,,5,85,5,6,3,S,S,39,1,Jacaranda ovalifolia
235631,7572,18 DE JULIO AVENIDA,4692,NARVAJA TRISTAN,87,ACEVEDO EDUARDO,1803,,I,1,,,4,169,15,10,2,S,S,63,1,Platanus x acerifolia
236692,7572,18 DE JULIO AVENIDA,321,BARRIOS AMORIN DR. JAVIER,7131,VAZQUEZ,0,s/n,P,1,,,8,18,3,3,2,S,N,73,2,Tabebuia pulcherrima
238177,7572,18 DE JULIO AVENIDA,2361,ACEVEDO DIAZ EDUARDO,1712,CASSINONI DR. MARIO,0,,P,1,,,4,15,01/04/10,.5,2,N,N,39,1,Jacaranda ovalifolia
238178,7572,18 DE JULIO AVENIDA,2361,ACEVEDO DIAZ EDUARDO,1712,CASSINONI DR. MARIO,0,,P,1,,,4,15,01/04/10,.5,2,N,N,39,1,Jacaranda ovalifolia
8629,7572,18 DE JULIO AVENIDA,756,BARBATO AGR. GERMAN,321,BARRIOS AMORIN DR. JAVIER,,S/N,I,,1,,7,15,02/05/10,,2,N,N,73,2,Tabebuia pulcherrima
8630,7572,18 DE JULIO AVENIDA,5934,REQUENA DR. JOAQUIN,5295,PAULLIER JUAN,2106,,P,1,1,,4,70,6,10,2,S,S,39,1,Jacaranda ovalifolia
8631,7572,18 DE JULIO AVENIDA,513,ARENAL GRANDE,4206,DE MARIA DR. PABLO,1962,,P,1,1,,4,94,8,8,2,S,S,39,1,Jacaranda ovalifolia
8632,7572,18 DE JULIO AVENIDA,513,ARENAL GRANDE,4206,DE MARIA DR. PABLO,1968,,P,1,1,,4,48,5,6,3,S,S,39,1,Jacaranda ovalifolia
8633,7572,18 DE JULIO AVENIDA,4206,DE MARIA DR. PABLO,4263,MARTINEZ DR MARTIN C.,2026,,P,1,1,,4,95,04/05/10,5,2,S,S,39,1,Jacaranda ovalifolia
8634,7572,18 DE JULIO AVENIDA,4206,DE MARIA DR. PABLO,4263,MARTINEZ DR MARTIN C.,2032,,P,1,1,,4,68,4,5,2,S,S,39,1,Jacaranda ovalifolia
8635,7572,18 DE JULIO AVENIDA,4206,DE MARIA DR. PABLO,4263,MARTINEZ DR MARTIN C.,0,2042 A,P,1,1,,4,70,3,4,2,S,N,39,1,Jacaranda ovalifolia
8637,7572,18 DE JULIO AVENIDA,4263,MARTINEZ DR MARTIN C.,5934,REQUENA DR. JOAQUIN,2062,,P,1,1,,4,100,5,6,2,S,N,39,1,Jacaranda ovalifolia
8638,7572,18 DE JULIO AVENIDA,4263,MARTINEZ DR MARTIN C.,5934,REQUENA DR. JOAQUIN,2066,bis,P,1,1,,4,100,05/05/10,9,2,S,N,39,1,Jacaranda ovalifolia
8639,7572,18 DE JULIO AVENIDA,4263,MARTINEZ DR MARTIN C.,5934,REQUENA DR. JOAQUIN,2088,2090,P,1,1,,4,65,5,8,2,S,N,39,1,Jacaranda ovalifolia
8640,7572,18 DE JULIO AVENIDA,321,BARRIOS AMORIN DR. JAVIER,7131,VAZQUEZ,1456,,P,1,1,,4,45,5,7,2,S,N,39,1,Jacaranda ovalifolia
8641,7572,18 DE JULIO AVENIDA,321,BARRIOS AMORIN DR. JAVIER,7131,VAZQUEZ,1460,,P,1,1,,4,68,7,9,2,S,N,39,1,Jacaranda ovalifolia
8642,7572,18 DE JULIO AVENIDA,321,BARRIOS AMORIN DR. JAVIER,7131,VAZQUEZ,1462,,P,1,1,,4,85,10,9,2,S,N,39,1,Jacaranda ovalifolia
8643,7572,18 DE JULIO AVENIDA,321,BARRIOS AMORIN DR. JAVIER,7131,VAZQUEZ,1468,,P,1,1,,4,83,6,9,2,S,N,39,1,Jacaranda ovalifolia
8644,7572,18 DE JULIO AVENIDA,321,BARRIOS AMORIN DR. JAVIER,7131,VAZQUEZ,1478,,P,1,1,,4,77,6,6,2,N,N,39,1,Jacaranda ovalifolia
8645,7572,18 DE JULIO AVENIDA,2361,ACEVEDO DIAZ EDUARDO,1712,CASSINONI DR. MARIO,2282,,P,1,1,,4,68,5,5,2,N,N,39,1,Jacaranda ovalifolia
8646,7572,18 DE JULIO AVENIDA,2361,ACEVEDO DIAZ EDUARDO,1712,CASSINONI DR. MARIO,2286,,P,1,1,,4,90,4,5,2,N,N,39,1,Jacaranda ovalifolia
8647,7572,18 DE JULIO AVENIDA,2361,ACEVEDO DIAZ EDUARDO,1712,CASSINONI DR. MARIO,2298,,P,1,1,,4,79,5,5,2,N,N,39,1,Jacaranda ovalifolia
8648,7572,18 DE JULIO AVENIDA,5295,PAULLIER JUAN,879,BEISSO ALEJANDRO,2175,,I,1,1,,4,161,18,9,2,N,S,63,1,Platanus x acerifolia
8649,7572,18 DE JULIO AVENIDA,5295,PAULLIER JUAN,879,BEISSO ALEJANDRO,2181,,I,1,1,,4,200,18,11,3,S,S,63,1,Platanus x acerifolia
8650,7572,18 DE JULIO AVENIDA,5295,PAULLIER JUAN,879,BEISSO ALEJANDRO,2187,,I,1,1,,4,176,19,12,3,S,S,63,1,Platanus x acerifolia
8651,7572,18 DE JULIO AVENIDA,5295,PAULLIER JUAN,879,BEISSO ALEJANDRO,2187,,I,1,2,,4,142,18,11,3,S,S,63,1,Platanus x acerifolia
8652,7572,18 DE JULIO AVENIDA,5295,PAULLIER JUAN,879,BEISSO ALEJANDRO,0,S/N,I,1,1,,4,195,19,11,2,S,S,63,1,Platanus x acerifolia
8653,7572,18 DE JULIO AVENIDA,5295,PAULLIER JUAN,879,BEISSO ALEJANDRO,0,S/N,I,1,1,,4,161,17,9,2,S,S,63,1,Platanus x acerifolia
8654,7572,18 DE JULIO AVENIDA,5295,PAULLIER JUAN,2361,ACEVEDO DIAZ EDUARDO,2166,,P,1,1,,4,60,6,10,2,N,N,39,1,Jacaranda ovalifolia
8655,7572,18 DE JULIO AVENIDA,5295,PAULLIER JUAN,2361,ACEVEDO DIAZ EDUARDO,2170,,P,1,1,,4,67,4,10,2,N,N,39,1,Jacaranda ovalifolia
8656,7572,18 DE JULIO AVENIDA,5295,PAULLIER JUAN,2361,ACEVEDO DIAZ EDUARDO,2182,,P,1,1,,4,60,6,10,3,N,N,39,1,Jacaranda ovalifolia
8659,7572,18 DE JULIO AVENIDA,5295,PAULLIER JUAN,2361,ACEVEDO DIAZ EDUARDO,2226,,P,1,1,,4,60,6,10,2,N,N,39,1,Jacaranda ovalifolia
8660,7572,18 DE JULIO AVENIDA,879,BEISSO ALEJANDRO,2361,ACEVEDO DIAZ EDUARDO,2201,,I,1,1,,4,159,18,12,2,S,S,63,1,Platanus x acerifolia
8661,7572,18 DE JULIO AVENIDA,879,BEISSO ALEJANDRO,2361,ACEVEDO DIAZ EDUARDO,2203,,I,1,1,,4,88,15,5,3,S,N,63,1,Platanus x acerifolia
8662,7572,18 DE JULIO AVENIDA,879,BEISSO ALEJANDRO,2361,ACEVEDO DIAZ EDUARDO,2205,,I,1,1,,4,161,17,7,2,S,S,63,1,Platanus x acerifolia
8663,7572,18 DE JULIO AVENIDA,879,BEISSO ALEJANDRO,2361,ACEVEDO DIAZ EDUARDO,2205,,I,1,1,,4,148,17,8,2,S,S,63,1,Platanus x acerifolia
8664,7572,18 DE JULIO AVENIDA,6183,ROXLO CARLOS,4467,MINAS,1622,,P,,1,,4,62,6,,2,N,N,39,1,Jacaranda ovalifolia
8665,7572,18 DE JULIO AVENIDA,6744,TACUAREMBO,6183,ROXLO CARLOS,1578,,P,,1,,4,52,04/05/10,,2,N,N,39,1,Jacaranda ovalifolia
8666,7572,18 DE JULIO AVENIDA,7131,VAZQUEZ,6744,TACUAREMBO,1516,,P,1,1,,4,86,8,8,2,S,N,39,1,Jacaranda ovalifolia
8667,7572,18 DE JULIO AVENIDA,7131,VAZQUEZ,6744,TACUAREMBO,1516,,P,1,2,,4,70,8,10,2,S,N,39,1,Jacaranda ovalifolia
8668,7572,18 DE JULIO AVENIDA,7131,VAZQUEZ,6744,TACUAREMBO,1532,,P,1,1,,4,77,8,10,2,S,N,39,1,Jacaranda ovalifolia
8669,7572,18 DE JULIO AVENIDA,7131,VAZQUEZ,6744,TACUAREMBO,1540,,P,1,1,,4,79,7,12,2,S,S,39,1,Jacaranda ovalifolia
8670,7572,18 DE JULIO AVENIDA,4692,NARVAJA TRISTAN,87,ACEVEDO EDUARDO,1809,,I,1,1,,4,132,11,10,3,S,S,63,1,Platanus x acerifolia
8671,7572,18 DE JULIO AVENIDA,4692,NARVAJA TRISTAN,87,ACEVEDO EDUARDO,1811,,I,1,1,,4,100,10,9,2,S,N,63,1,Platanus x acerifolia
8672,7572,18 DE JULIO AVENIDA,4692,NARVAJA TRISTAN,87,ACEVEDO EDUARDO,1813,BIS,I,1,1,,4,139,12,9,4,S,S,63,1,Platanus x acerifolia
8673,7572,18 DE JULIO AVENIDA,4692,NARVAJA TRISTAN,87,ACEVEDO EDUARDO,1817,,I,1,1,,4,120,10,10,2,S,S,63,1,Platanus x acerifolia
8674,7572,18 DE JULIO AVENIDA,4692,NARVAJA TRISTAN,87,ACEVEDO EDUARDO,1821,,I,1,1,,4,110,11,9,3,S,S,63,1,Platanus x acerifolia
8675,7572,18 DE JULIO AVENIDA,4692,NARVAJA TRISTAN,87,ACEVEDO EDUARDO,1845,,I,1,1,,4,200,15,10,4,S,S,63,1,Platanus x acerifolia
8676,7572,18 DE JULIO AVENIDA,4692,NARVAJA TRISTAN,87,ACEVEDO EDUARDO,1824,,P,1,1,,2,81,7,7,4,S,N,58,1,Peltophorum dubium
8677,7572,18 DE JULIO AVENIDA,2853,GABOTO,4692,NARVAJA TRISTAN,1775,,I,1,1,,320,200,18,12,2,S,N,63,1,Platanus x acerifolia
8678,7572,18 DE JULIO AVENIDA,2853,GABOTO,4692,NARVAJA TRISTAN,1779,,I,1,1,,320,175,16,12,2,S,S,63,1,Platanus x acerifolia
