Arbol,Cod_calle,Calle,Cod_Entre,Entre,Cod_Y,Y, Numero,Ajuste,Acera,Alineacion,Ordinal,Ancho Vereda,Distancia,CAP,Altura,Diametro Copa,EV,Int.Aerea,Int.Sub,Genero,Especie,Nombre científico
282180,7912,2 DE FEBRERO PASAJE NUESTROS HIJOS,837,PACHECO DE BATLLE Y ORDOÑEZ MATILDE,6990,TULA CAPITAN,5390,,P,1,,,1,120,10,8,2,S,N,70,5,Salix alba cv 'Vitelina'
282183,7912,2 DE FEBRERO PASAJE NUESTROS HIJOS,837,PACHECO DE BATLLE Y ORDOÑEZ MATILDE,6990,TULA CAPITAN,5390,,P,1,,,1,20,1,1,2,S,N,71,1,Schinus molle
164736,7599,20 DE ENERO,6717,SALARI  TTE. CNEL. EUCLIDES A.,2655,FAJARDO HERACLIO,3666,,P,1,1,,3,129,11,8,1,N,N,35,3,Fraxinus lanceolata
164737,7599,20 DE ENERO,6717,SALARI  TTE. CNEL. EUCLIDES A.,2655,FAJARDO HERACLIO,3668,,P,1,I- 2,,3,68,01/05/10,1,1,N,N,55,1,Nerium oleander
164738,7599,20 DE ENERO,6717,SALARI  TTE. CNEL. EUCLIDES A.,2655,FAJARDO HERACLIO,3668,,P,1,I- 1,,3,64,01/05/10,1,1,N,N,55,1,Nerium oleander
164740,7599,20 DE ENERO,6717,SALARI  TTE. CNEL. EUCLIDES A.,2655,FAJARDO HERACLIO,3676,,P,1,1,,3,170,13,9,2,S,S,51,1,Melia azedarach
164741,7599,20 DE ENERO,6717,SALARI  TTE. CNEL. EUCLIDES A.,2655,FAJARDO HERACLIO,3686,BIS,P,1,1,,3,109,10,9,1,S,S,39,1,Jacaranda ovalifolia
164743,7599,20 DE ENERO,6717,SALARI  TTE. CNEL. EUCLIDES A.,2655,FAJARDO HERACLIO,3673,,I,1,1,,3,152,14,8,2,S,S,51,1,Melia azedarach
164746,7599,20 DE ENERO,6717,SALARI  TTE. CNEL. EUCLIDES A.,2655,FAJARDO HERACLIO,,S/N,I,1,I- 3,,3,235,16,9,1,S,N,63,1,Platanus x acerifolia
164748,7599,20 DE ENERO,6717,SALARI  TTE. CNEL. EUCLIDES A.,2655,FAJARDO HERACLIO,,S/N,I,1,I- 1,,3,219,16,9,3,S,S,63,1,Platanus x acerifolia
