Arbol,Cod_calle,Calle,Cod_Entre,Entre,Cod_Y,Y, Numero,Ajuste,Acera,Alineacion,Ordinal,Ancho Vereda,Distancia,CAP,Altura,Diametro Copa,EV,Int.Aerea,Int.Sub,Genero,Especie,Nombre científico
118880,7602,20 DE FEBRERO,1995,CLARAMUNT TOMAS,3780,LARRAVIDE,3102,,P,1,1,,5,158,12,11,2,N,S,51,1,Melia azedarach
141578,7602,20 DE FEBRERO,7019,DE UBEDA FRAY MANUEL,3834,LASALA CNEL.,2847,,I,1,1,,2,130,11,8,2,S,S,51,1,Melia azedarach
141579,7602,20 DE FEBRERO,2523,DE ERCILIA ALONSO,468,ARCOS JUAN VICENTE,2954,bis,P,1,1,,4,120,11,9,2,S,N,35,3,Fraxinus lanceolata
141580,7602,20 DE FEBRERO,2523,DE ERCILIA ALONSO,468,ARCOS JUAN VICENTE,2954,,P,1,2,,4,80,7,9,2,S,S,71,1,Schinus molle
141581,7602,20 DE FEBRERO,468,ARCOS JUAN VICENTE,3114,IRURETA GOYENA DR. JOSE,2978,,P,2,1,,2,50,1,3,2,N,N,79,1,Hibiscus rosa-sinensis
141582,7602,20 DE FEBRERO,468,ARCOS JUAN VICENTE,3114,IRURETA GOYENA DR. JOSE,2978,,P,2,2,,2,115,5,3,2,N,N,79,3,Hibiscus syriacus
141583,7602,20 DE FEBRERO,468,ARCOS JUAN VICENTE,3114,IRURETA GOYENA DR. JOSE,2978,,P,2,3,,2,101,6,6,2,S,N,30,1,Erythrina crista-galli
141584,7602,20 DE FEBRERO,468,ARCOS JUAN VICENTE,3114,IRURETA GOYENA DR. JOSE,2996,,P,2,1,,2,143,12,10,3,S,S,51,1,Melia azedarach
141585,7602,20 DE FEBRERO,468,ARCOS JUAN VICENTE,3114,IRURETA GOYENA DR. JOSE,0,S/N,P,1,1,,4,169,10,11,2,S,N,51,1,Melia azedarach
141586,7602,20 DE FEBRERO,468,ARCOS JUAN VICENTE,3114,IRURETA GOYENA DR. JOSE,2990,BIS,P,2,1,,2,94,10,9,2,S,S,51,1,Melia azedarach
141587,7602,20 DE FEBRERO,468,ARCOS JUAN VICENTE,3114,IRURETA GOYENA DR. JOSE,2990,,P,1,1,,4,129,10,10,2,S,S,999,88,Dudas
141588,7602,20 DE FEBRERO,468,ARCOS JUAN VICENTE,3114,IRURETA GOYENA DR. JOSE,2982,,P,1,1,,4,179,10,12,2,S,S,25,2,Chorisia speciosa
141589,7602,20 DE FEBRERO,3780,LARRAVIDE,822,BATALLA MAURICIA,3106,,P,1,2,,4,160,8,6,2,S,N,43,1,Ligustrum lucidum
141590,7602,20 DE FEBRERO,3780,LARRAVIDE,822,BATALLA MAURICIA,3106,,P,1,2,,4,102,8,6,2,S,N,43,1,Ligustrum lucidum
141591,7602,20 DE FEBRERO,3780,LARRAVIDE,822,BATALLA MAURICIA,3108,,P,1,2,,4,56,6,7,2,N,N,17,1,Bahuinia candicans
141592,7602,20 DE FEBRERO,3780,LARRAVIDE,822,BATALLA MAURICIA,3108,,P,1,1,,4,158,12,11,2,S,N,51,1,Melia azedarach
141593,7602,20 DE FEBRERO,3780,LARRAVIDE,822,BATALLA MAURICIA,3112,,P,1,1,,4,208,12,11,3,S,S,51,1,Melia azedarach
141594,7602,20 DE FEBRERO,822,BATALLA MAURICIA,1496,CAMOATI,3107,,I,1,1,,4,114,10,7,3,S,N,35,3,Fraxinus lanceolata
141595,7602,20 DE FEBRERO,822,BATALLA MAURICIA,1496,CAMOATI,3113,,I,1,1,,4,142,10,8,2,N,S,35,3,Fraxinus lanceolata
141596,7602,20 DE FEBRERO,822,BATALLA MAURICIA,1496,CAMOATI,3117,,I,1,1,,4,150,12,10,2,S,S,35,3,Fraxinus lanceolata
141597,7602,20 DE FEBRERO,822,BATALLA MAURICIA,1496,CAMOATI,3123,,I,1,1,,4,133,14,12,2,S,N,35,3,Fraxinus lanceolata
141598,7602,20 DE FEBRERO,1496,CAMOATI,7447,YUCATAN,3131,,I,1,1,,4,128,10,8,2,N,N,35,3,Fraxinus lanceolata
141599,7602,20 DE FEBRERO,1496,CAMOATI,7447,YUCATAN,3137,,I,1,1,,4,140,12,10,2,N,N,35,3,Fraxinus lanceolata
141600,7602,20 DE FEBRERO,1496,CAMOATI,7447,YUCATAN,3145,,I,1,1,,4,134,11,9,2,S,N,35,3,Fraxinus lanceolata
141601,7602,20 DE FEBRERO,6537,SERRATO  ING JOSE,7227,VIANA GOBERNADOR,,S/N,I,,1,,6,8,2,,2,N,N,92,1,Yucca gloriosa
141603,7602,20 DE FEBRERO,3114,IRURETA GOYENA DR. JOSE,3780,LARRAVIDE,3017,,I,,1,,3,197,10,,3,N,N,51,1,Melia azedarach
141604,7602,20 DE FEBRERO,3114,IRURETA GOYENA DR. JOSE,3780,LARRAVIDE,3029,,I,,1,,4,30,4,,2,N,N,53,1,Myoporum laetum
141605,7602,20 DE FEBRERO,3114,IRURETA GOYENA DR. JOSE,3780,LARRAVIDE,3035,,I,,1,,4,3,2,,2,N,N,43,1,Ligustrum lucidum
141606,7602,20 DE FEBRERO,3114,IRURETA GOYENA DR. JOSE,3780,LARRAVIDE,3045,,I,,1,,4,110,8,,2,N,N,51,1,Melia azedarach
141607,7602,20 DE FEBRERO,3114,IRURETA GOYENA DR. JOSE,3780,LARRAVIDE,,S/N,I,,1,,5,70,6,,2,N,N,21,1,Catalpa bignonioides
141608,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,0,S/N,I,1,1,,3,54,5,6,3,N,N,50,1,Manihot flabellifolia
141609,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,0,s/n,I,1,1,,3,56,5,5,3,N,N,50,1,Manihot flabellifolia
141610,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,2961,,I,1,1,,5,140,11,8,2,N,N,35,3,Fraxinus lanceolata
141611,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,2965,,I,1,1,,5,211,14,11,2,S,S,76,1,Tipuana tipu
141612,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,2969,,I,1,1,,5,184,12,10,2,N,N,51,1,Melia azedarach
141613,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,2973,,I,1,1,,5,95,10,7,2,N,N,51,1,Melia azedarach
141614,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,2973,,I,1,2,,5,173,13,10,2,N,N,51,1,Melia azedarach
141615,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,2973,,I,1,3,,5,85,10,7,2,S,N,51,1,Melia azedarach
141616,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,2975,,I,1,1,,5,146,12,9,2,N,N,51,1,Melia azedarach
141617,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,2975,,I,1,2,,5,121,12,9,2,N,N,51,1,Melia azedarach
141618,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,2975,,I,1,3,,5,101,11,8,2,N,N,51,1,Melia azedarach
141619,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,2975,,I,1,3,,5,32,8,1,2,N,N,26,3,Cupressus semp.var Stricta
141620,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,0,S/N,I,1,1,,0,148,10,7,2,S,N,51,1,Melia azedarach
141621,7602,20 DE FEBRERO,120,AGACES,3114,IRURETA GOYENA DR. JOSE,0,S/N,I,1,1,,1,249,15,11,3,S,N,51,1,Melia azedarach
141622,7602,20 DE FEBRERO,687,AVELLANEDA MARCOS DE,7019,DE UBEDA FRAY MANUEL,2805,,I,1,1,,3,122,10,7,2,S,S,35,3,Fraxinus lanceolata
141623,7602,20 DE FEBRERO,687,AVELLANEDA MARCOS DE,7019,DE UBEDA FRAY MANUEL,2817,,I,1,1,,3,57,2,1,3,N,N,79,3,Hibiscus syriacus
141625,7602,20 DE FEBRERO,687,AVELLANEDA MARCOS DE,7019,DE UBEDA FRAY MANUEL,2825,,I,1,1,,3,44,3,2,2,N,N,79,3,Hibiscus syriacus
141626,7602,20 DE FEBRERO,687,AVELLANEDA MARCOS DE,7019,DE UBEDA FRAY MANUEL,2833,,I,1,1,,1,158,10,8,4,S,S,51,1,Melia azedarach
141627,7602,20 DE FEBRERO,687,AVELLANEDA MARCOS DE,7019,DE UBEDA FRAY MANUEL,2833,,I,1,2,,1,308,18,14,2,S,S,63,1,Platanus x acerifolia
141629,7602,20 DE FEBRERO,4965,ORIBE GRAL. IGNACIO,4578,MORENO LUCAS,2931,,I,1,1,,5,160,13,9,3,S,N,70,2,Salix babylonica
141630,7602,20 DE FEBRERO,4965,ORIBE GRAL. IGNACIO,4578,MORENO LUCAS,2931,,I,1,2,,5,169,13,8,3,N,S,70,2,Salix babylonica
141631,7602,20 DE FEBRERO,4965,ORIBE GRAL. IGNACIO,4578,MORENO LUCAS,2937,,I,1,1,,5,62,3,2,2,N,N,79,1,Hibiscus rosa-sinensis
141632,7602,20 DE FEBRERO,4965,ORIBE GRAL. IGNACIO,4578,MORENO LUCAS,2837,,I,1,2,,5,89,4,2,2,N,N,55,1,Nerium oleander
141633,7602,20 DE FEBRERO,4965,ORIBE GRAL. IGNACIO,4578,MORENO LUCAS,2941,,I,1,1,,5,118,11,9,3,N,N,97,1,Thuja orientalis
