Arbol,Cod_calle,Calle,Cod_Entre,Entre,Cod_Y,Y, Numero,Ajuste,Acera,Alineacion,Ordinal,Ancho Vereda,Distancia,CAP,Altura,Diametro Copa,EV,Int.Aerea,Int.Sub,Genero,Especie,Nombre científico
226358,7563,14 DE JULIO,7266,VIDELA CAPITAN,457,ARCE LIBER,1545,,I,1,1,,3,10,3,3,1,N,N,35,3,Fraxinus lanceolata
248443,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,0,s/n,P,1,,,2,20,4,1,1,N,N,35,3,Fraxinus lanceolata
248444,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,0,s/n,P,1,,,2,25,4,01/05/10,1,N,N,35,2,Fraxinus excelsior
248445,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1416,,P,1,,,2,30,5,2,1,N,N,35,3,Fraxinus lanceolata
248446,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1424,,P,1,,,2,50,6,2,1,N,N,35,3,Fraxinus lanceolata
248447,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1432,,P,1,,,2,40,5,3,1,N,N,35,3,Fraxinus lanceolata
248448,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1436,,P,1,,,2,35,3,2,1,N,N,35,3,Fraxinus lanceolata
248449,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1440,,P,1,,,2,20,2,01/05/10,1,N,N,35,3,Fraxinus lanceolata
248450,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1442,,P,1,,,2,40,6,2,1,N,N,35,3,Fraxinus lanceolata
31325,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1412,BIS,P,1,1,,2,85,7,4,1,S,N,35,2,Fraxinus excelsior
31326,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1420,,P,1,2,,2,82,7,7,1,N,N,11,2,Acer negundo
31327,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1420,,P,1,1,,2,60,6,3,1,N,N,63,1,Platanus x acerifolia
31328,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1426,,P,1,1,,2,90,6,3,1,N,N,75,1,Tilia moltkei
31329,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1430,,P,1,2,,2,90,8,5,1,N,N,35,2,Fraxinus excelsior
31330,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1430,,P,1,1,,2,100,7,5,1,S,N,75,1,Tilia moltkei
31332,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1434,bis,P,1,1,,2,50,7,3,1,S,N,35,3,Fraxinus lanceolata
31337,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1444,,P,1,1,,2,25,4,01/05/10,1,N,N,35,3,Fraxinus lanceolata
31338,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,1448,,P,1,1,,2,25,5,2,1,N,N,11,2,Acer negundo
31339,7563,14 DE JULIO,6051,RIVERA AVENIDA GRAL.,725,BADO DR. JOSE LUIS,0,S/N,P,1,1,,2,15,5,2,1,N,N,35,3,Fraxinus lanceolata
31340,7563,14 DE JULIO,4779,MENDEZ NUÑEZ,7266,VIDELA CAPITAN,1454,,P,,1,,2,169,11,,2,N,N,35,4,Fraxinus ornus
31341,7563,14 DE JULIO,4779,MENDEZ NUÑEZ,7266,VIDELA CAPITAN,1458,,P,,1,,2,50,9,,2,N,N,35,3,Fraxinus lanceolata
31343,7563,14 DE JULIO,4779,MENDEZ NUÑEZ,7266,VIDELA CAPITAN,1478,,P,,1,,2,102,8,,3,N,N,51,1,Melia azedarach
31344,7563,14 DE JULIO,4779,MENDEZ NUÑEZ,7266,VIDELA CAPITAN,1478,,P,,2,,2,137,9,,2,N,N,35,3,Fraxinus lanceolata
31345,7563,14 DE JULIO,4779,MENDEZ NUÑEZ,7266,VIDELA CAPITAN,1482,,P,,1,,2,33,5,,3,N,N,35,3,Fraxinus lanceolata
31346,7563,14 DE JULIO,4779,MENDEZ NUÑEZ,7266,VIDELA CAPITAN,1486,,P,,1,,2,49,10,,2,N,N,59,1,Persea americana
31347,7563,14 DE JULIO,4779,MENDEZ NUÑEZ,7266,VIDELA CAPITAN,1486,,P,,2,,2,49,9,,2,N,N,59,1,Persea americana
31348,7563,14 DE JULIO,4779,MENDEZ NUÑEZ,7266,VIDELA CAPITAN,1488,,P,,1,,2,30,8,,2,N,N,40,2,Juglans regia
31351,7563,14 DE JULIO,4779,MENDEZ NUÑEZ,7266,VIDELA CAPITAN,1494,,P,,1,,2,154,11,,2,N,N,35,3,Fraxinus lanceolata
31352,7563,14 DE JULIO,7266,VIDELA CAPITAN,457,ARCE LIBER,1503,,I,1,1,,2,160,10,3,2,N,N,35,4,Fraxinus ornus
31353,7563,14 DE JULIO,7266,VIDELA CAPITAN,457,ARCE LIBER,1511,,I,1,1,,2,140,10,8,1,N,S,35,3,Fraxinus lanceolata
31354,7563,14 DE JULIO,7266,VIDELA CAPITAN,457,ARCE LIBER,1521,,I,1,1,,2,160,12,8,1,N,N,35,4,Fraxinus ornus
31355,7563,14 DE JULIO,7266,VIDELA CAPITAN,457,ARCE LIBER,1525,,I,1,1,,2,175,11,8,1,N,N,35,4,Fraxinus ornus
31356,7563,14 DE JULIO,7266,VIDELA CAPITAN,457,ARCE LIBER,1537,,I,1,1,,2,55,7,4,1,S,N,35,3,Fraxinus lanceolata
31358,7563,14 DE JULIO,457,ARCE LIBER,6090,RODRIGUEZ FELICIANO,0,S/N,P,1,1,,2,160,10,10,1,N,N,35,3,Fraxinus lanceolata
31359,7563,14 DE JULIO,457,ARCE LIBER,6090,RODRIGUEZ FELICIANO,1564,,P,1,1,,2,210,10,7,2,N,N,76,1,Tipuana tipu
31360,7563,14 DE JULIO,457,ARCE LIBER,6090,RODRIGUEZ FELICIANO,1570,,P,1,1,,2,140,8,5,2,N,N,35,2,Fraxinus excelsior
31361,7563,14 DE JULIO,457,ARCE LIBER,6090,RODRIGUEZ FELICIANO,1578,,P,1,1,,2,180,10,5,4,S,N,69,1,Robinia pseudoacacia
31362,7563,14 DE JULIO,457,ARCE LIBER,6090,RODRIGUEZ FELICIANO,1582,,P,1,2,,2,230,10,8,4,N,S,69,1,Robinia pseudoacacia
31363,7563,14 DE JULIO,457,ARCE LIBER,6090,RODRIGUEZ FELICIANO,1582,,P,1,1,,2,140,10,5,2,N,S,69,1,Robinia pseudoacacia
31364,7563,14 DE JULIO,457,ARCE LIBER,6090,RODRIGUEZ FELICIANO,1584,,P,1,1,,2,160,9,3,1,N,N,51,1,Melia azedarach
31365,7563,14 DE JULIO,457,ARCE LIBER,6090,RODRIGUEZ FELICIANO,1586,,P,1,1,,2,150,7,4,2,N,S,51,1,Melia azedarach
31366,7563,14 DE JULIO,457,ARCE LIBER,6090,RODRIGUEZ FELICIANO,1590,,P,1,2,,2,130,8,3,4,N,N,35,4,Fraxinus ornus
31368,7563,14 DE JULIO,7266,VIDELA CAPITAN,457,ARCE LIBER,1506,,P,1,1,,2,120,8,5,1,N,S,11,4,Acer saccharinum
31369,7563,14 DE JULIO,7266,VIDELA CAPITAN,457,ARCE LIBER,1510,,P,1,1,,2,200,11,6,3,N,N,35,4,Fraxinus ornus
31370,7563,14 DE JULIO,7266,VIDELA CAPITAN,457,ARCE LIBER,1516,,P,1,1,,2,160,11,6,1,N,S,35,3,Fraxinus lanceolata
31372,7563,14 DE JULIO,7266,VIDELA CAPITAN,457,ARCE LIBER,1530,1528,P,1,1,,2,170,11,8,1,N,N,35,3,Fraxinus lanceolata
31373,7563,14 DE JULIO,7266,VIDELA CAPITAN,457,ARCE LIBER,1538,,P,1,1,,2,175,11,7,3,N,N,35,3,Fraxinus lanceolata
