Arbol,Cod_calle,Calle,Cod_Entre,Entre,Cod_Y,Y, Numero,Ajuste,Acera,Alineacion,Ordinal,Ancho Vereda,Distancia,CAP,Altura,Diametro Copa,EV,Int.Aerea,Int.Sub,Genero,Especie,Nombre científico
121837,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,0,s/n,P,1,I - 1,,9,160,7,4,2,N,S,51,1,Melia azedarach
121840,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1716,,P,1,I - 1,,9,170,10,6,2,N,N,51,1,Melia azedarach
121841,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1694,,P,1,I - 1,,9,140,8,4,2,N,N,51,1,Melia azedarach
121842,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1694,,P,3,II - 1,,3,65,7,4,1,N,N,35,3,Fraxinus lanceolata
121843,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1698,,P,1,I - 2,,9,100,8,4,1,N,N,25,2,Chorisia speciosa
121844,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1698,,P,1,I - 1,,9,95,7,7,1,N,N,35,3,Fraxinus lanceolata
121845,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1698,,P,3,III - 1,,3,180,7,2,2,N,S,51,1,Melia azedarach
121846,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1698,,P,1,I - 2,,9,105,8,5,1,N,N,25,2,Chorisia speciosa
121847,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1732,,P,3,II - 1,,3,240,8,3,1,N,N,51,1,Melia azedarach
121848,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1736,,P,1,I - 1,,9,65,6,5,1,N,N,35,3,Fraxinus lanceolata
121850,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1788,,P,1,I - 1,,9,40,4,3,2,N,N,39,1,Jacaranda ovalifolia
121852,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1790,,P,1,I - 2,,9,100,4,5,1,N,N,55,1,Nerium oleander
121853,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1790,,P,1,I - 1,,9,115,8,5,2,N,N,25,2,Chorisia speciosa
121854,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1794,,P,3,II - 1,,3,65,7,6,2,N,N,58,1,Peltophorum dubium
121855,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1794,,P,1,I - 1,,9,140,8,8,1,N,N,25,2,Chorisia speciosa
121857,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1794,,P,2,II - 1,,3,140,4,1,3,N,N,51,1,Melia azedarach
121858,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1798,,P,1,I - 1,,9,60,6,6,1,N,N,35,3,Fraxinus lanceolata
121859,7569,18 DE DICIEMBRE AVENIDA,175,DE AGUIRRE Y LECUBE DR. JOSE,4025,LOPEZ AVENIDA ESTANISLAO,1798,,P,3,II - 1,,3,115,8,8,1,S,S,35,3,Fraxinus lanceolata
