Arbol,Cod_calle,Calle,Cod_Entre,Entre,Cod_Y,Y, Numero,Ajuste,Acera,Alineacion,Ordinal,Ancho Vereda,Distancia,CAP,Altura,Diametro Copa,EV,Int.Aerea,Int.Sub,Genero,Especie,Nombre científico
279317,7533,1 DE MARZO,2883,GALEANO CAMINO TTE.,2421,DUNANT,4221,,I,1,,,4,60,5,6,2,S,N,71,1,Schinus molle
279363,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4268,,P,1,,,4,30,3,3,2,N,N,71,1,Schinus molle
279375,7533,1 DE MARZO,3312,HELVECIA,5994,RINALDI CAMINO TTE.,4345,,I,1,,,4,75,5,7,2,S,N,71,1,Schinus molle
279376,7533,1 DE MARZO,3312,HELVECIA,5994,RINALDI CAMINO TTE.,0,S/N,I,1,,,4,65,5,6,2,N,N,71,1,Schinus molle
279377,7533,1 DE MARZO,3312,HELVECIA,5994,RINALDI CAMINO TTE.,0,S/N,I,1,,,4,10,3,01/05/10,2,N,N,71,1,Schinus molle
67300,7533,1 DE MARZO,2883,GALEANO CAMINO TTE.,2421,DUNANT,0,S/N,P,1,3,,3,180,10,10,2,N,S,11,2,Acer negundo
67301,7533,1 DE MARZO,2883,GALEANO CAMINO TTE.,2421,DUNANT,0,S/N,P,1,2,,3,125,10,8,2,S,N,70,2,Salix babylonica
67303,7533,1 DE MARZO,2883,GALEANO CAMINO TTE.,2421,DUNANT,4214,,P,1,1,,3,120,8,9,3,N,S,11,2,Acer negundo
67304,7533,1 DE MARZO,2883,GALEANO CAMINO TTE.,2421,DUNANT,4224,,P,1,1,,3,160,8,8,2,S,S,70,2,Salix babylonica
67308,7533,1 DE MARZO,2883,GALEANO CAMINO TTE.,2421,DUNANT,0,S/N,P,1,1,,3,185,2,1,6,N,N,51,1,Melia azedarach
67309,7533,1 DE MARZO,2883,GALEANO CAMINO TTE.,2421,DUNANT,0,S/N,I,1,1,,4,120,2,.5,6,N,N,11,2,Acer negundo
67310,7533,1 DE MARZO,2883,GALEANO CAMINO TTE.,2421,DUNANT,4217,,I,1,1,,4,220,10,12,2,S,S,35,2,Fraxinus excelsior
67312,7533,1 DE MARZO,2883,GALEANO CAMINO TTE.,2421,DUNANT,4247,BIS,I,1,2,,4,50,5,4,2,S,N,35,3,Fraxinus lanceolata
67314,7533,1 DE MARZO,2883,GALEANO CAMINO TTE.,2421,DUNANT,4247,,I,1,1,,4,80,6,7,2,N,N,35,3,Fraxinus lanceolata
67315,7533,1 DE MARZO,2883,GALEANO CAMINO TTE.,2421,DUNANT,4247,,I,1,2,,4,75,5,03/05/10,2,N,N,35,3,Fraxinus lanceolata
67316,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4283,,I,2,1,,2,250,8,5,2,S,S,43,1,Ligustrum lucidum
67317,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4295,,I,1,1,,3,195,9,12,2,S,N,70,2,Salix babylonica
67318,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4295,,I,1,2,,3,165,9,10,2,S,S,70,2,Salix babylonica
67319,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4295,,I,1,3,,3,175,9,15,2,S,N,70,2,Salix babylonica
67321,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4299,,I,1,1,,3,95,8,9,2,S,S,63,1,Platanus x acerifolia
67322,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4299,,I,1,2,,3,135,10,10,2,S,S,70,2,Salix babylonica
67323,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4254,,P,1,2,,4,130,01/05/10,.5,7,N,N,51,1,Melia azedarach
67324,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4254,,P,1,1,,4,170,9,12,2,N,S,51,1,Melia azedarach
67325,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4260,,P,1,2,,4,125,8,8,2,S,N,71,1,Schinus molle
67326,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4260,,P,1,1,,4,130,8,8,2,S,S,71,1,Schinus molle
67327,7533,1 DE MARZO,2421,DUNANT,3312,HELVECIA,4264,,P,1,2,,4,80,9,5,2,N,S,38,1,Grevillea robusta
