Arbol,Cod_calle,Calle,Cod_Entre,Entre,Cod_Y,Y, Numero,Ajuste,Acera,Alineacion,Ordinal,Ancho Vereda,Distancia,CAP,Altura,Diametro Copa,EV,Int.Aerea,Int.Sub,Genero,Especie,Nombre científico
136377,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1290,,I,1,1,,5,28,01/05/10,2,1,N,N,55,1,Nerium oleander,
136379,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1290,,I,1,2,,5,52,7,2,2,N,N,64,3,Populus nigra cv Italica,
136380,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1290,,I,1,3,,5,167,16,3,2,N,S,64,3,Populus nigra cv Italica,
136382,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1315,,I,1,1,,5,101,4,3,3,N,S,51,1,Melia azedarach,
136384,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1315,,I,1,2,,5,116,7,3,3,N,N,51,1,Melia azedarach,
136386,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1315,,I,1,3,,5,139,7,4,2,N,N,51,1,Melia azedarach,
136388,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1315,,I,1,4,,5,169,13,7,2,N,S,51,1,Melia azedarach,
136389,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1321,,I,1,1,,5,58,4,2,2,N,N,55,1,Nerium oleander,
136391,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1321,,I,1,2,,5,50,02/05/10,2,2,N,N,87,1,Lantana camara,
136393,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1327,,I,1,1,,3,186,12,5,2,N,S,31,7,Eucalyptus robusta,
136395,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1327,,I,1,2,,3,19,3,2,1,N,N,55,1,Nerium oleander,
136396,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1327,,I,1,3,,3,185,.5,.1,7,N,S,31,7,Eucalyptus robusta,
136398,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1347,,I,1,1,,3,201,16,7,2,S,S,31,7,Eucalyptus robusta,
136399,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1347,,I,1,2,,3,302,15,6,3,N,S,31,7,Eucalyptus robusta,
136400,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1347,,I,1,3,,3,197,16,7,3,S,S,31,7,Eucalyptus robusta,
136402,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1347,,I,1,4,,3,284,18,9,3,S,S,31,7,Eucalyptus robusta,
136403,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1357,esq.,I,1,1,,5,164,11,6,3,S,N,62,2,Pinus halepensis,
136404,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1359,,I,1,1,,3,240,16,7,2,S,S,31,7,Eucalyptus robusta,
136405,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1363,,I,1,1,,3,106,7,3,2,N,N,31,5,Eucalyptus ficifolia,
136406,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1373,,I,1,1,,3,227,17,5,2,N,S,31,7,Eucalyptus robusta,
136407,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1373,,I,1,2,,2,395,23,9,3,S,S,31,2,Eucalyptus camaldulensis,
136408,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1379,,I,1,1,,3,25,4,2,2,N,N,35,3,Fraxinus lanceolata,
136409,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1379,,I,1,2,,3,27,4,2,1,N,N,35,3,Fraxinus lanceolata,
136410,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1387,,I,1,1,,3,233,15,5,3,N,N,31,7,Eucalyptus robusta,
136411,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1387,,I,1,2,,3,189,18,6,3,N,S,31,7,Eucalyptus robusta,
136412,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1387,,I,1,3,,3,125,16,4,3,N,N,31,7,Eucalyptus robusta,
136413,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1389,,I,1,1,,3,213,18,7,2,S,S,31,7,Eucalyptus robusta,
136414,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1389,,I,1,2,,3,208,18,6,2,S,N,31,7,Eucalyptus robusta,
136415,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1393,,I,1,1,,3,210,16,7,2,S,S,31,7,Eucalyptus robusta,
136416,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1393,,I,1,2,,3,231,18,8,2,N,S,31,7,Eucalyptus robusta,
136417,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1405,,I,1,1,,3,229,18,8,2,S,S,31,7,Eucalyptus robusta,
136418,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1413,,I,1,1,,4,32,.2,.1,6,N,N,71,1,Schinus molle,
136419,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1439,,I,1,1,,3,220,16,8,2,S,S,31,7,Eucalyptus robusta,
242048,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1412,,P,1,,,6,21,1,1,3,N,N,31,7,Eucalyptus robusta,
242049,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1386,,P,1,,,4,19,2,1,1,N,N,65,1,Prunus cerasifera var. pissardii,
242050,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1415,,I,1,,,4,12,2,01/05/10,1,N,N,67,5,Quercus robur,
242051,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1415,,I,1,,,4,4,1,.2,3,N,N,79,1,Hibiscus rosa-sinensis,
242052,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1421,,I,1,,,4,12,1,1,1,N,N,79,1,Hibiscus rosa-sinensis,
242053,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1439,,I,1,,,2,6,01/05/10,.5,1,N,N,55,1,Nerium oleander,
242054,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1439,,I,1,,,4,5,1,.5,2,N,N,55,1,Nerium oleander,
242055,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1323,,I,1,,,4,24,01/05/10,1,2,N,N,55,1,Nerium oleander,
242056,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1323,,I,1,,,4,51,3,1,2,N,N,55,1,Nerium oleander,
242057,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1305,,I,1,,,4,34,2,5,1,N,N,71,1,Schinus molle,
242058,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1305,,I,1,,,4,28,2,3,2,N,N,71,1,Schinus molle,
242059,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1305,,I,1,,,4,24,2,4,1,N,N,71,1,Schinus molle,
242060,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1295,,I,1,,,4,45,6,2,1,N,N,20,4,Casuarina equisetifolia,
242061,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1295,,I,1,,,4,31,4,2,2,N,N,20,1,Casuarina cunninghamiana,
242062,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1293,,I,1,,,4,2,.5,.2,2,N,N,71,1,Schinus molle,
242063,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,2291,CUNEO PERINETTI JOSE,1289,,I,1,,,4,38,5,2,1,N,N,20,4,Casuarina equisetifolia,
242064,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,0,s/n,P,1,,,4,18,3,1,1,N,N,15,3,Araucaria heterophylla,
242065,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,0,s/n,P,1,,,4,22,3,1,1,N,N,15,3,Araucaria heterophylla,
242066,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,0,s/n,P,1,,,4,21,3,01/05/10,1,N,N,15,3,Araucaria heterophylla,
242067,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,0,s/n,P,1,,,4,11,2,1,1,N,N,15,3,Araucaria heterophylla,
242068,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,0,s/n,P,1,,,4,16,2,1,1,N,N,15,3,Araucaria heterophylla,
242069,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,1284,,P,1,,,3,8,01/05/10,.5,1,N,N,20,4,Casuarina equisetifolia,
242070,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,1284,,P,1,,,3,10,1,.5,1,N,N,20,4,Casuarina equisetifolia,
242071,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,1300,,P,1,,,5,12,3,1,1,N,N,35,3,Fraxinus lanceolata,
242072,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,1316,,P,1,,,3,2,1,.5,1,N,N,36,1,Ginkgo bilboa,
242073,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,1316,,P,1,,,3,52,8,3,2,S,S,20,4,Casuarina equisetifolia,
242074,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,1316,,P,1,,,3,36,7,2,1,N,S,20,4,Casuarina equisetifolia,
242075,7653,6 DE ABRIL,4356,REPUBLICA DE MEXICO RAMBLA,3189,GUARAMBARE,1346,,P,1,,,3,46,2,3,2,N,N,71,1,Schinus molle,
135942,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1606,,P,,5,,4,167,5,,3,N,N,16,1,Arecastrum romanzoffianum,
135943,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1606,,P,,4,,4,81,7,,3,N,N,16,1,Arecastrum romanzoffianum,
135944,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1606,,P,,3,,4,95,6,,2,N,N,16,1,Arecastrum romanzoffianum,
135945,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1606,,P,,2,,4,101,6,,2,N,N,16,1,Arecastrum romanzoffianum,
135946,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1606,,P,,1,,4,97,6,,2,N,N,16,1,Arecastrum romanzoffianum,
135947,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1620,,P,,2,,4,74,6,,3,N,N,16,1,Arecastrum romanzoffianum,
135948,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1620,,P,,1,,4,87,6,,2,N,N,16,1,Arecastrum romanzoffianum,
135949,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1628,,P,,1,,4,93,5,,2,N,N,16,1,Arecastrum romanzoffianum,
135950,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1624,,P,,4,,4,95,5,,3,N,N,16,1,Arecastrum romanzoffianum,
135951,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1624,,P,,3,,4,160,2,,3,N,N,65,1,Prunus cerasifera var. pissardii,
135952,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1624,,P,,2,,4,140,01/08/10,,3,N,N,65,1,Prunus cerasifera var. pissardii,
135953,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1624,,P,,1,,4,93,5,,3,N,N,16,1,Arecastrum romanzoffianum,
135954,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,,S/N,P,,1,,4,108,7,,2,N,N,16,1,Arecastrum romanzoffianum,
135955,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1632,,P,,1,,3,63,6,,2,N,N,16,1,Arecastrum romanzoffianum,
135956,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1636,,P,,1,,3,69,5,,2,N,N,16,1,Arecastrum romanzoffianum,
135957,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1640,,P,,5,,3,85,7,,2,N,N,16,1,Arecastrum romanzoffianum,
135958,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1640,,P,,4,,3,80,6,,3,N,N,16,1,Arecastrum romanzoffianum,
135959,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1640,,P,,3,,3,89,6,,2,N,N,16,1,Arecastrum romanzoffianum,
135960,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1640,,P,,2,,2,78,7,,3,N,N,16,1,Arecastrum romanzoffianum,
135961,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1640,,P,,1,,2,111,8,,3,N,N,16,1,Arecastrum romanzoffianum,
135962,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,1573,,I,,I - 1,,3,201,5,,2,N,N,19,1,Butia capitata,
135963,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,1573,,I,,I - 2,,2,210,6,,2,N,N,19,1,Butia capitata,
135964,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,1573,,I,,I - 3,,3,203,5,,2,N,N,19,1,Butia capitata,
135965,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,1583,,I,,I - 1,,2,0,1,,2,N,N,62,4,Pinus pinaster,
135967,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,1583,,I,,I - 3,,2,160,4,,2,N,N,19,1,Butia capitata,
135968,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,1587,,I,,1,,2,187,4,,2,N,N,19,1,Butia capitata,
135969,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,,S/N,P,,1,,4,0,2,,2,N,N,16,1,Arecastrum romanzoffianum,
135970,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,,S/N,P,,2,,4,89,3,,2,N,N,16,1,Arecastrum romanzoffianum,
135971,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,,S/N,P,,3,,4,110,3,,2,N,N,16,1,Arecastrum romanzoffianum,
135972,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,,S/N,P,,4,,4,175,04/05/10,,2,N,N,16,1,Arecastrum romanzoffianum,
135973,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,,S/N,P,,5,,4,162,4,,2,N,N,16,1,Arecastrum romanzoffianum,
135974,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,,S/N,P,,6,,4,183,4,,2,N,N,16,1,Arecastrum romanzoffianum,
135975,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,,S/N,P,,7,,4,0,01/08/10,,2,N,N,16,1,Arecastrum romanzoffianum,
135976,72,ACAPULCO,2709,FIGARI PEDRO,4176,MANTUA,,S/N,P,,8,,4,0,01/07/10,,2,N,N,60,1,Phoenix canariensis,
135977,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1605,,I,,1,,4,111,9,,1,N,N,16,1,Arecastrum romanzoffianum,
135978,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1605,,I,,2,,4,93,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135979,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1611,,I,,1,,4,106,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135980,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1611,,I,,2,,4,113,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135981,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1615,,I,,1,,4,83,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135982,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1615,,I,,2,,4,96,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135983,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1621,,I,,1,,4,109,9,,1,N,N,16,1,Arecastrum romanzoffianum,
135984,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1621,,I,,2,,4,98,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135985,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1625,,I,,1,,4,107,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135986,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1625,,I,,2,,4,89,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135987,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1631,,I,,1,,4,86,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135988,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1631,,I,,2,,4,90,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135989,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1631,,I,,3,,4,80,6,,1,N,N,16,1,Arecastrum romanzoffianum,
135990,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1645,,I,,1,,4,101,7,,1,N,N,16,1,Arecastrum romanzoffianum,
135991,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1645,,I,,2,,4,100,6,,1,N,N,16,1,Arecastrum romanzoffianum,
135992,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1645,,I,,3,,4,112,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135993,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1645,,I,,4,,4,96,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135994,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1645,,I,,5,,4,106,7,,1,N,N,16,1,Arecastrum romanzoffianum,
135995,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1645,,I,,6,,4,110,8,,1,N,N,16,1,Arecastrum romanzoffianum,
135996,72,ACAPULCO,4176,MANTUA,3465,ILARIA ARQ. AMERICO,1645,,I,,7,,4,106,8,,1,N,N,16,1,Arecastrum romanzoffianum,
134738,106,ACOSTA Y LARA ARQ HORACIO,2817,FRENCH GRAL.,0,,0,S/N,P,1,2,,2,35,4,02/05/10,2,N,N,39,1,Jacaranda ovalifolia,
134739,106,ACOSTA Y LARA ARQ HORACIO,2817,FRENCH GRAL.,0,,0,S/N,P,1,3,,2,30,03/05/10,2,2,N,N,39,1,Jacaranda ovalifolia,
134740,106,ACOSTA Y LARA ARQ HORACIO,2817,FRENCH GRAL.,0,,0,S/N,P,1,4,,2,30,4,02/05/10,2,N,N,39,1,Jacaranda ovalifolia,
