Arbol,Cod_calle,Calle,Cod_Entre,Entre,Cod_Y,Y, Numero,Ajuste,Acera,Alineacion,Ordinal,Ancho Vereda,Distancia,CAP,Altura,Diametro Copa,EV,Int.Aerea,Int.Sub,Genero,Especie,Nombre científico
226551,7641,4 DE JULIO,3348,DE HERRERA AVENIDA LUIS ALBERTO,3840,LASPLACES ALBERTO,3426,,P,,2,,4,15,03/05/10,,2,N,N,14,1,Ailanthus altissima
226552,7641,4 DE JULIO,3348,DE HERRERA AVENIDA LUIS ALBERTO,3840,LASPLACES ALBERTO,3426,,P,,1,,4,80,6,,2,N,N,35,3,Fraxinus lanceolata
226553,7641,4 DE JULIO,3348,DE HERRERA AVENIDA LUIS ALBERTO,3840,LASPLACES ALBERTO,3440,,P,,1,,4,3,2,,1,N,N,79,1,Hibiscus rosa-sinensis
226554,7641,4 DE JULIO,3348,DE HERRERA AVENIDA LUIS ALBERTO,3840,LASPLACES ALBERTO,3440,,P,,2,,4,141,9,,3,N,N,35,3,Fraxinus lanceolata
226555,7641,4 DE JULIO,3348,DE HERRERA AVENIDA LUIS ALBERTO,3840,LASPLACES ALBERTO,,ESQ.,P,,1,,4,220,10,,4,N,N,51,1,Melia azedarach
226556,7641,4 DE JULIO,3348,DE HERRERA AVENIDA LUIS ALBERTO,3840,LASPLACES ALBERTO,3431,,I,,1,,4,110,6,,3,N,N,35,3,Fraxinus lanceolata
226557,7641,4 DE JULIO,3348,DE HERRERA AVENIDA LUIS ALBERTO,3840,LASPLACES ALBERTO,3433,,I,,1,,4,126,7,,3,N,N,35,3,Fraxinus lanceolata
226558,7641,4 DE JULIO,3348,DE HERRERA AVENIDA LUIS ALBERTO,3840,LASPLACES ALBERTO,3439,,I,,1,,4,188,12,,2,N,N,58,1,Peltophorum dubium
226559,7641,4 DE JULIO,3348,DE HERRERA AVENIDA LUIS ALBERTO,3840,LASPLACES ALBERTO,3441,,I,,1,,4,94,6,,3,N,N,35,3,Fraxinus lanceolata
226560,7641,4 DE JULIO,3348,DE HERRERA AVENIDA LUIS ALBERTO,3840,LASPLACES ALBERTO,,ESQ.,I,,1,,4,141,6,,3,N,N,35,3,Fraxinus lanceolata
