Arbol,Cod_calle,Calle,Cod_Entre,Entre,Cod_Y,Y, Numero,Ajuste,Acera,Alineacion,Ordinal,Ancho Vereda,Distancia,CAP,Altura,Diametro Copa,EV,Int.Aerea,Int.Sub,Genero,Especie,Nombre científico
181846,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,,S/N,P,,1,,0,83,5,,2,N,N,31,3,Eucalyptus camaldulensis var.acuminata
181847,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,5194,,P,,1,,3,75,5,,2,N,N,31,6,Eucalyptus globulus ssp globulus
181848,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,5198,,P,,1,,3,35,4,,2,N,N,31,6,Eucalyptus globulus ssp globulus
181849,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,5198,,P,,2,,3,52,6,,2,N,N,31,6,Eucalyptus globulus ssp globulus
181850,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,5210,,P,,1,,2,102,6,,2,N,N,31,6,Eucalyptus globulus ssp globulus
181851,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,5236,,P,,1,,2,83,7,,2,N,N,31,6,Eucalyptus globulus ssp globulus
181852,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,5244,,P,,1,,2,129,6,,2,N,N,31,6,Eucalyptus globulus ssp globulus
181853,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,5244,,P,,2,,2,80,5,,2,N,N,31,6,Eucalyptus globulus ssp globulus
181854,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,5244,,P,,3,,2,120,6,,2,N,N,31,6,Eucalyptus globulus ssp globulus
181855,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,,S/N,P,,1,,2,28,7,,2,N,N,31,6,Eucalyptus globulus ssp globulus
181856,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,,S/N,P,,2,,2,33,6,,2,N,N,31,6,Eucalyptus globulus ssp globulus
181857,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,,S/N,P,,1,,2,25,3,,2,N,N,70,4,Salix humboldtiana
181858,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,5526,,P,,2,,3,162,8,,2,N,N,10,5,Acacia podalyriifolia
181859,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,5526,,P,,1,,3,140,7,,2,N,N,10,5,Acacia podalyriifolia
181860,215,ALDAMA Y ORTEGA JOSE,999,PAJAS BLANCAS CAMINO,4408,DE MESA Y CASTRO CAP. PEDRO,,S/N,P,,1,,3,101,8,,2,N,N,31,8,Eucalyptus tereticornis
181861,230,ALIANZA CAMINO,6106,RODRIGUEZ MENDEZ DIEGO,1962,CIBILS CAMINO,2372,,P,,1,,2,120,6,,2,N,N,51,1,Melia azedarach
181862,230,ALIANZA CAMINO,6106,RODRIGUEZ MENDEZ DIEGO,1962,CIBILS CAMINO,2372,,P,,2,,2,40,5,,2,N,N,51,1,Melia azedarach
181863,230,ALIANZA CAMINO,6106,RODRIGUEZ MENDEZ DIEGO,1962,CIBILS CAMINO,2372,,P,,3,,2,80,5,,2,N,N,51,1,Melia azedarach
181864,230,ALIANZA CAMINO,6106,RODRIGUEZ MENDEZ DIEGO,1962,CIBILS CAMINO,2372,,P,,4,,2,175,8,,2,N,N,51,1,Melia azedarach
181865,230,ALIANZA CAMINO,6106,RODRIGUEZ MENDEZ DIEGO,1962,CIBILS CAMINO,2376,,P,,1,,2,40,5,,2,N,N,51,1,Melia azedarach
181866,230,ALIANZA CAMINO,6106,RODRIGUEZ MENDEZ DIEGO,1962,CIBILS CAMINO,2376,,P,,2,,2,60,6,,2,N,N,51,1,Melia azedarach
181867,230,ALIANZA CAMINO,6106,RODRIGUEZ MENDEZ DIEGO,1962,CIBILS CAMINO,2376,,P,,3,,2,20,7,,2,N,N,51,1,Melia azedarach
181868,230,ALIANZA CAMINO,6106,RODRIGUEZ MENDEZ DIEGO,1962,CIBILS CAMINO,2388,,P,,1,,2,158,6,,2,N,N,51,1,Melia azedarach
181869,230,ALIANZA CAMINO,6106,RODRIGUEZ MENDEZ DIEGO,1962,CIBILS CAMINO,2388,,P,,2,,2,139,4,,2,N,N,51,1,Melia azedarach
181870,230,ALIANZA CAMINO,2098,CONGRESO DE AVALOS,6106,RODRIGUEZ MENDEZ DIEGO,,S/N,P,,1,,2,185,8,,3,N,N,51,1,Melia azedarach
181871,230,ALIANZA CAMINO,6106,RODRIGUEZ MENDEZ DIEGO,1962,CIBILS CAMINO,2345,,I,,1,,3,50,04/05/10,,1,N,N,71,1,Schinus molle
181872,230,ALIANZA CAMINO,1480,CAMACHO ANTONIO,4612,MUÑOZ ZEBALLOS ROMULO,1667,,I,,1,,3,35,4,,2,N,N,51,1,Melia azedarach
181873,230,ALIANZA CAMINO,1480,CAMACHO ANTONIO,4612,MUÑOZ ZEBALLOS ROMULO,1667,,I,,2,,3,68,5,,2,N,N,51,1,Melia azedarach
181874,230,ALIANZA CAMINO,1480,CAMACHO ANTONIO,4612,MUÑOZ ZEBALLOS ROMULO,1669,,I,,I- 1,,5,90,8,,2,N,N,70,3,Salix elegantissima
181875,230,ALIANZA CAMINO,1480,CAMACHO ANTONIO,4612,MUÑOZ ZEBALLOS ROMULO,1669,,I,,II- 1,,3,25,4,,2,N,N,51,1,Melia azedarach
181876,230,ALIANZA CAMINO,1480,CAMACHO ANTONIO,4612,MUÑOZ ZEBALLOS ROMULO,1669,,I,,II- 2,,3,24,4,,2,N,N,51,1,Melia azedarach
181877,230,ALIANZA CAMINO,1480,CAMACHO ANTONIO,4612,MUÑOZ ZEBALLOS ROMULO,1689,,I,,1,,3,48,4,,1,N,N,152,1,Spartium junceum
181878,230,ALIANZA CAMINO,1480,CAMACHO ANTONIO,4612,MUÑOZ ZEBALLOS ROMULO,1689,,I,,2,,3,38,4,,2,N,N,70,3,Salix elegantissima
181879,230,ALIANZA CAMINO,1480,CAMACHO ANTONIO,4612,MUÑOZ ZEBALLOS ROMULO,1689,,I,,3,,3,25,4,,2,N,N,30,1,Erythrina crista-galli
181880,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4811,,I,,1,,3,22,2,,2,N,N,70,2,Salix babylonica
181881,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4811,,I,,2,,3,126,12,,3,N,N,70,2,Salix babylonica
181882,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4811,,I,,3,,3,88,9,,2,N,N,70,2,Salix babylonica
181883,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4821,,I,,1,,3,72,5,,2,N,N,51,1,Melia azedarach
181884,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4867,,I,,1,,4,124,10,,2,N,N,51,1,Melia azedarach
181885,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4867,,I,,2,,4,121,9,,2,N,N,51,1,Melia azedarach
181886,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4871,,I,,1,,4,18,2,,2,N,N,71,1,Schinus molle
181887,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4871,,I,,2,,4,23,4,,2,N,N,35,3,Fraxinus lanceolata
181888,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4915,,I,,1,,4,107,9,,3,N,N,35,3,Fraxinus lanceolata
181889,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4915,,I,,2,,4,113,8,,2,N,N,35,3,Fraxinus lanceolata
181890,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4915,,I,,3,,4,94,11,,3,N,N,35,3,Fraxinus lanceolata
181891,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4915,,I,,4,,4,113,9,,3,N,N,35,3,Fraxinus lanceolata
181892,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4921,,I,,1,,4,53,7,,2,N,N,70,3,Salix elegantissima
181893,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4921,,I,,2,,4,73,5,,2,N,N,35,3,Fraxinus lanceolata
181894,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4965,,I,,1,,4,130,10,,2,N,N,35,3,Fraxinus lanceolata
181895,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4965,,I,,2,,4,79,8,,3,N,N,35,3,Fraxinus lanceolata
181896,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4965,,I,,3,,4,114,9,,2,N,N,35,3,Fraxinus lanceolata
181897,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4969,,I,,1,,4,140,9,,3,N,N,39,1,Jacaranda ovalifolia
181898,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4969,,I,,2,,4,71,8,,3,N,N,39,1,Jacaranda ovalifolia
181899,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5033,,I,,1,,4,114,01/06/10,,5,N,N,888,888,Seco
181901,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5039,,I,,1,,4,120,11,,3,N,N,35,3,Fraxinus lanceolata
181902,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5039,,I,,2,,3,98,12,,3,N,N,35,3,Fraxinus lanceolata
181903,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5039,,I,,3,,3,87,9,,2,N,N,35,3,Fraxinus lanceolata
181904,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5041,,I,,1,,3,97,12,,3,N,N,35,3,Fraxinus lanceolata
181905,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5041,,I,,2,,3,89,8,,3,N,N,35,3,Fraxinus lanceolata
181906,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5041,,I,,3,,3,106,8,,3,N,N,35,3,Fraxinus lanceolata
181907,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5043,,I,,1,,3,128,9,,2,N,N,35,3,Fraxinus lanceolata
181908,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4993,,I,,1,,3,4,01/02/10,,2,N,N,35,3,Fraxinus lanceolata
181909,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4993,,I,,2,,3,1,.5,,2,N,N,35,3,Fraxinus lanceolata
181910,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4993,,I,,3,,3,35,5,,2,N,N,51,1,Melia azedarach
181911,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5097,,I,,1,,3,40,4,,3,N,N,51,1,Melia azedarach
181912,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5097,,I,,2,,3,75,8,,2,N,N,51,1,Melia azedarach
181913,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5105,,I,,1,,4,130,8,,3,N,N,51,1,Melia azedarach
181914,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5105,,I,,2,,4,133,8,,3,N,N,51,1,Melia azedarach
181915,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5109,,I,,1,,4,218,14,,3,N,N,25,2,Chorisia speciosa
181916,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5103,,I,,1,,4,22,4,,3,N,N,70,3,Salix elegantissima
181917,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5109,,I,,2,,4,12,2,,2,N,N,70,3,Salix elegantissima
181918,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,5117,,I,,1,,4,174,8,,3,N,N,51,1,Melia azedarach
181919,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,,S/N,P,,4,,2,83,6,,3,N,N,51,1,Melia azedarach
181920,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,,S/N,P,,3,,2,91,6,,3,N,N,51,1,Melia azedarach
181921,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,,S/N,P,,2,,2,111,6,,2,N,N,51,1,Melia azedarach
181922,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,,S/N,P,,1,,2,105,6,,2,N,N,51,1,Melia azedarach
181923,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,,S/N,P,,4,,4,50,2,,2,N,N,77,1,Ulmus procera
181924,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,,S/N,P,,3,,4,15,3,,2,N,N,77,1,Ulmus procera
181925,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,,S/N,P,,2,,4,25,3,,2,N,N,77,1,Ulmus procera
181926,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,,S/N,P,,1,,4,20,3,,2,N,N,77,1,Ulmus procera
181927,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4850,,P,,4,,4,130,8,,2,N,N,35,3,Fraxinus lanceolata
181928,270,ALVAREZ RAMON,6968,DE LAS TROPAS CAMINO,1095,LA BOYADA CAMINO,4850,,P,,3,,4,96,7,,2,N,N,35,3,Fraxinus lanceolata
